module	version	detected_spdx	license_sha256	license_evidence_filename
aead.dev/minisign	v0.2.0	MIT	d2e73e3423b8898d7d2fba4e55a2abb43969603fe32fdd468f197ff238969d28	LICENSE
github.com/SevereCloud/vksdk/v3	v3.3.1	MIT	36daa040a344c8f3050a333f2883f671bf86b1bb52d3ee2b1860f76915ab4975	LICENSE
github.com/adhocore/gronx	v1.20.0	MIT	a64430d8e0e07fadef83a0bf1c0abce2d8cc7a115c888aaa3855d388176656a7	LICENSE
github.com/andybalholm/brotli	v1.2.1	MIT	3d180008e36922a4e8daec11c34c7af264fed5962d07924aea928c38e8663c94	LICENSE
github.com/anthropics/anthropic-sdk-go	v1.50.2	MIT	8bf96984ff8bcfae7e48cae76a529e8a25317ba9e02abf7fd3cc64fdf95657a6	LICENSE
github.com/atc0005/go-teams-notify/v2	v2.14.0	MIT	912c5bf16159e5026968610c08b78911f8bf4c00af5a2526df3d54b52a81ecf1	LICENSE
github.com/aymanbagabas/go-osc52/v2	v2.0.1	MIT	11319e34d9dac2f45392f14f4f62e28b24173cfa13d39b32e7b7b66c2f3bdccd	LICENSE
github.com/bahlo/generic-list-go	v0.2.0	BSD-3-Clause	2d36597f7117c38b006835ae7f537487207d8ec407aa9d9980794b2030cbc067	LICENSE
github.com/buger/jsonparser	v1.1.2	MIT	632b59709152e1b5bfd3e2794848bcd2f4c70e3e175646726dbf53439ea1dbe1	LICENSE
github.com/bwmarrin/discordgo	v0.29.0	BSD-3-Clause	17a412a84e477d955ab94e21185adad7542a09d0388c8a172de95b3787b07886	LICENSE
github.com/caarlos0/env/v11	v11.4.1	MIT	657225b6c683571763995299113fe46677f110c70df88e95e75fa67a8772f5fa	LICENSE.md
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc	MIT	57d6eeeb336030b89c0e0d12cf869f84b97a481cd00b350ef21fca995da5a39a	LICENSE
github.com/charmbracelet/lipgloss	v1.1.0	MIT	699cffa88b62691ea09706d356e5ee0982e87ca2b1c58ca682f27d6ae87f9efc	LICENSE
github.com/charmbracelet/x/ansi	v0.8.0	MIT	0baa4a5942a801d93f4050d2bc0039d8c037105fcd335230d118eec99a11782b	LICENSE
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd	MIT	0baa4a5942a801d93f4050d2bc0039d8c037105fcd335230d118eec99a11782b	LICENSE
github.com/charmbracelet/x/term	v0.2.1	MIT	0baa4a5942a801d93f4050d2bc0039d8c037105fcd335230d118eec99a11782b	LICENSE
github.com/cloudflare/circl	v1.6.3	BSD-3-Clause	b0da1764fe4d13d610b695536fc3f2ebc362482d053a1cd258e36975bc6b97a7	LICENSE
github.com/creack/pty	v1.1.24	MIT	a2a1cea59d9c2d71908082f516f86bb560abf857646ecf69d70c121ead14aef4	LICENSE
github.com/dustin/go-humanize	v1.0.1	MIT	a973b4498c13eb74baa2a8e5c351426a6826f2fcdd909916dbe53ee2e755fd71	LICENSE
github.com/eclipse/paho.mqtt.golang	v1.5.1	EPL-2.0 OR EDL-1.0	e2bcf9854f46a58b6e6f014d64e102a6b4e35a87d117094903e66fb68454a3fd	LICENSE
github.com/ergochat/irc-go	v0.6.0	ISC	800ac1bf1f663111da631bf35e895c9ef2aca46d6bd276bb0b8378916378634f	LICENSE
github.com/ergochat/readline	v0.1.3	MIT	3e07c02046bf3c2a73f060636997e0323dbe92a2d4ba43ef9e6b05a1031ae4c4	LICENSE
github.com/github/copilot-sdk/go	v0.2.0	MIT	2510b446bc1f0cf9702453075d20cd88631e20e5642658edb7325d9c1eb534f7	LICENSE
github.com/go-logr/logr	v1.4.3	Apache-2.0	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	LICENSE
github.com/go-logr/stdr	v1.2.2	Apache-2.0	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	LICENSE
github.com/go-resty/resty/v2	v2.17.1	MIT	07089ee111422e78fad17058c12115728ded901c06185125836594d521b10967	LICENSE
github.com/gogo/protobuf	v1.3.2	BSD-3-Clause	3f571768c0ba2f330e5fee90de89bfe5141f48c1939be8008fa61461c30ca07f	LICENSE
github.com/gomarkdown/markdown	v0.0.0-20260411013819-759bbc3e3207	BSD-2-Clause	f7b377536d149ca0818e1c341aeca76d63f55ca749cfd713484a1672f89714f7	LICENSE.txt
github.com/google/jsonschema-go	v0.4.3	MIT	2d56c53449691d85d9aea245eb8dac12713e9075d70d5557b82ae1e94805b357	LICENSE
github.com/google/uuid	v1.6.0	BSD-3-Clause	0a8d61ed3cbfd5312326e8126c31ce9c627a283adc99131b56896d29ada04b2d	LICENSE
github.com/gorilla/websocket	v1.5.3	BSD-2-Clause	2be1b548b0387ca8948e1bb9434e709126904d15f622cc2d0d8e7f186e4d122d	LICENSE
github.com/h2non/filetype	v1.1.3	MIT	85ffa04d14965497779ceb017229dae1448f470c62db422c97a14a4ce66c95b7	LICENSE
github.com/invopop/jsonschema	v0.14.0	MIT	ed76298aa9c218e9010aa186c1107ceb6c7618db50ae0222b9a1b4196101a411	COPYING
github.com/klauspost/compress	v1.18.7	Apache-2.0	0d9e582ee4bff57bf1189c9e514e6da7ce277f9cd3bc2d488b22fbb39a6d87cf	LICENSE
github.com/larksuite/oapi-sdk-go/v3	v3.9.4	MIT	29d16ac53b7f3f8513fb4c6ca4e683bed3f958f9a53f27cb0a840b4f07c5f5b4	LICENSE
github.com/line/line-bot-sdk-go/v8	v8.20.1	Apache-2.0	53bb9aedb6d2c9eff2c7d653658b6733df0952928faef07af63fc2d9044132d4	LICENSE.txt
github.com/lucasb-eyer/go-colorful	v1.3.0	MIT	1e4cf2a117516ec1b54041d68ed4f5d331878b04de3386f4790e7b5b9c04e1ec	LICENSE
github.com/mattn/go-colorable	v0.1.14	MIT	88a2379b3ca34bf5c57127aff9dcb802bbb60ece0805cdbda65b3bd115f971d9	LICENSE
github.com/mattn/go-isatty	v0.0.20	MIT	08eab1118c80885fa1fa6a6dd7303f65a379fcb3733e063d20d1bbc2c76e6fa1	LICENSE
github.com/mattn/go-runewidth	v0.0.16	MIT	88a2379b3ca34bf5c57127aff9dcb802bbb60ece0805cdbda65b3bd115f971d9	LICENSE
github.com/mdp/qrterminal/v3	v3.2.1	MIT	17117a0201bf610e146fdab52b82e4fca8d35032e1facc7a13226c8e1f69878a	LICENSE
github.com/minio/selfupdate	v0.6.0	Apache-2.0	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	LICENSE
github.com/modelcontextprotocol/go-sdk	v1.6.1	Apache-2.0	af679003d933f045393a6a029f43da113f9ae364eac651d9ae268392985580f5	LICENSE
github.com/muesli/termenv	v0.16.0	MIT	233e8cf9a812999ccee4d3edb270b0f11ab3539658e680bcb873604915ca5038	LICENSE
github.com/mymmrac/telego	v1.10.0	MIT	067493d11e33ff44386b1842a06c2784c5eae70628767f025bcd034f8484d160	LICENSE
github.com/open-dingtalk/dingtalk-stream-sdk-go	v0.9.1	MIT	d4560b1cd75490afdef0f84a710745c7be714402e67922cd8cdf196ac2ab13b7	LICENSE
github.com/openai/openai-go/v3	v3.22.0	Apache-2.0	636eb7d79da9bb6d515a4b3fd417aa26679eb3cf16396ddab4bc55fa74e616e4	LICENSE
github.com/pb33f/ordered-map/v2	v2.3.1	Apache-2.0	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	LICENSE
github.com/pion/randutil	v0.1.0	MIT	badaf9bc72e71d5a70e7604c636b5b7adf79b9cafc188688438105d2b1e54722	LICENSE
github.com/pion/rtp	v1.10.2	MIT	b85dcd3e453d05982552c52b5fc9e0bdd6d23c6f8e844b984a88af32570b0cc0	LICENSE
github.com/pion/webrtc/v3	v3.3.6	MIT	87272dba8c4fcf57101a3195f4f53f7b010b6e153b9b0977bb1a3f91acddf691	LICENSE
github.com/pmezard/go-difflib	v1.0.0	BSD-2-Clause	2eb550be6801c1ea434feba53bf6d12e7c71c90253e0a9de4a4f46cf88b56477	LICENSE
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec	BSD-3-Clause	dd26a7abddd02e2d0aba97805b31f248ef7835d9e10da289b22e3b8ab78b324d	LICENSE
github.com/rivo/uniseg	v0.4.7	MIT	a59885f5f0f3b3c07cf9444db5fe399b6f0791eac82055f7b85cc65500551039	LICENSE.txt
github.com/rs/zerolog	v1.35.1	MIT	1b8f6b05dd66f6eec835515706886cb01bf00358cb9312301ed6ad23d6b2d008	LICENSE
github.com/segmentio/asm	v1.1.3	MIT	e2a78de21d6d8ded2dff0f3189cd32e011630d785da127ebfbc8949012c0947b	LICENSE
