module	version	go_sum	purl
aead.dev/minisign	v0.2.0	h1:kAWrq/hBRu4AARY6AlciO83xhNnW9UaC8YipS2uhLPk=	pkg:golang/aead.dev/minisign@v0.2.0
github.com/SevereCloud/vksdk/v3	v3.3.1	h1:O86zsp5LQnHE+O5acvuXM/s6S1LyxzVTkF6+Lup0Jyg=	pkg:golang/github.com/SevereCloud/vksdk/v3@v3.3.1
github.com/adhocore/gronx	v1.20.0	h1:PD13Mo0wekkZ7ZZR9yb1TqeqTfybs7/K3ez9DmjQwEs=	pkg:golang/github.com/adhocore/gronx@v1.20.0
github.com/andybalholm/brotli	v1.2.1	h1:R+f5xP285VArJDRgowrfb9DqL18yVK0gKAW/F+eTWro=	pkg:golang/github.com/andybalholm/brotli@v1.2.1
github.com/anthropics/anthropic-sdk-go	v1.50.2	h1:K+YJWWzeN2h5MAbh9xeUWY8yAB2oOMp2xLLAODrVBXA=	pkg:golang/github.com/anthropics/anthropic-sdk-go@v1.50.2
github.com/atc0005/go-teams-notify/v2	v2.14.0	h1:7N+xw+COnYANLREaAveQ65rsNQ12nIZJED9nMLyscCo=	pkg:golang/github.com/atc0005/go-teams-notify/v2@v2.14.0
github.com/aymanbagabas/go-osc52/v2	v2.0.1	h1:HwpRHbFMcZLEVr42D4p7XBqjyuxQH5SMiErDT4WkJ2k=	pkg:golang/github.com/aymanbagabas/go-osc52/v2@v2.0.1
github.com/bahlo/generic-list-go	v0.2.0	h1:5sz/EEAK+ls5wF+NeqDpk5+iNdMDXrh3z3nPnH1Wvgk=	pkg:golang/github.com/bahlo/generic-list-go@v0.2.0
github.com/buger/jsonparser	v1.1.2	h1:frqHqw7otoVbk5M8LlE/L7HTnIq2v9RX6EJ48i9AxJk=	pkg:golang/github.com/buger/jsonparser@v1.1.2
github.com/bwmarrin/discordgo	v0.29.0		pkg:golang/github.com/bwmarrin/discordgo@v0.29.0
github.com/caarlos0/env/v11	v11.4.1	h1:fYwH0sWEsBSMPG7t4e/PEfTFzrWrpjyygXyUnWiSwEw=	pkg:golang/github.com/caarlos0/env/v11@v11.4.1
github.com/charmbracelet/colorprofile	v0.2.3-0.20250311203215-f60798e515dc	h1:4pZI35227imm7yK2bGPcfpFEmuY1gc2YSTShr4iJBfs=	pkg:golang/github.com/charmbracelet/colorprofile@v0.2.3-0.20250311203215-f60798e515dc
github.com/charmbracelet/lipgloss	v1.1.0	h1:vYXsiLHVkK7fp74RkV7b2kq9+zDLoEU4MZoFqR/noCY=	pkg:golang/github.com/charmbracelet/lipgloss@v1.1.0
github.com/charmbracelet/x/ansi	v0.8.0	h1:9GTq3xq9caJW8ZrBTe0LIe2fvfLR/bYXKTx2llXn7xE=	pkg:golang/github.com/charmbracelet/x/ansi@v0.8.0
github.com/charmbracelet/x/cellbuf	v0.0.13-0.20250311204145-2c3ea96c31dd	h1:vy0GVL4jeHEwG5YOXDmi86oYw2yuYUGqz6a8sLwg0X8=	pkg:golang/github.com/charmbracelet/x/cellbuf@v0.0.13-0.20250311204145-2c3ea96c31dd
