module	version	license	source
cloud.google.com/go/compute/metadata	v0.3.0	Apache-2.0	LICENSE
github.com/dustin/go-humanize	v1.0.1	MIT	LICENSE
github.com/golang-jwt/jwt/v5	v5.3.1	MIT	LICENSE
github.com/google/go-cmp	v0.7.0	BSD	LICENSE
github.com/google/jsonschema-go	v0.4.3	MIT	LICENSE
github.com/google/pprof	v0.0.0-20250317173921-a4b03ec1a45e	Apache-2.0	LICENSE
github.com/google/uuid	v1.6.0	BSD	LICENSE
github.com/hashicorp/golang-lru/v2	v2.0.7	MPL-2.0	LICENSE
github.com/mattn/go-isatty	v0.0.20	MIT	LICENSE
github.com/modelcontextprotocol/go-sdk	v1.7.0	Apache-2.0	LICENSE
github.com/mohamedmasoud3030-tech/mosaid	workspace	MIT	LICENSE
github.com/ncruces/go-strftime	v1.0.0	MIT	LICENSE
github.com/remyoudompheng/bigfft	v0.0.0-20230129092748-24d4a6f8daec	BSD	LICENSE
github.com/segmentio/asm	v1.1.3	MIT	LICENSE
github.com/segmentio/encoding	v0.5.4	MIT	LICENSE
github.com/yosida95/uritemplate/v3	v3.0.2	BSD	LICENSE
golang.org/x/mod	v0.36.0	BSD	LICENSE
golang.org/x/oauth2	v0.35.0	BSD	LICENSE
golang.org/x/sync	v0.20.0	BSD	LICENSE
golang.org/x/sys	v0.44.0	BSD	LICENSE
golang.org/x/time	v0.15.0	BSD	LICENSE
golang.org/x/tools	v0.45.0	BSD	LICENSE
modernc.org/cc/v4	v4.28.4	BSD	LICENSE
modernc.org/ccgo/v4	v4.34.4	BSD	LICENSE
modernc.org/fileutil	v1.4.0	BSD	LICENSE
modernc.org/gc/v2	v2.6.5	BSD	LICENSE
modernc.org/gc/v3	v3.1.3	BSD	LICENSE
modernc.org/goabi0	v0.2.0	BSD	LICENSE
modernc.org/libc	v1.73.4	BSD	LICENSE
modernc.org/mathutil	v1.7.1	BSD	LICENSE
modernc.org/memory	v1.11.0	BSD	LICENSE
modernc.org/opt	v0.2.0	BSD	LICENSE
modernc.org/sortutil	v1.2.1	BSD	LICENSE
modernc.org/sqlite	v1.53.0	BSD	LICENSE
modernc.org/strutil	v1.2.1	BSD	LICENSE
modernc.org/token	v1.1.0	BSD	LICENSE
